GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
3551,54685795.57,3279.81,1833.35,5158797.3,189.98,-111.75,-998.41,-11663.25,492.8,8508.59,-3295.17,120.47,59846123.99,-3174.7,59842949.29
3576,54686992.47,2779.48,1884.0,5171447.28,307.98,-125.5,-1006.05,-11782.79,494.21,8669.75,-3319.69,118.93,59859660.82,-3200.76,59856460.05
3601,54573666.0,3098.3,1895.94,5190761.93,751.85,-113.92,-1031.93,-11667.14,527.05,8648.39,-3351.65,117.28,59766536.46,-3234.37,59763302.09
3626,54887511.79,2976.77,1845.31,5246467.81,208.94,-111.85,-1024.28,-11917.4,519.06,8707.19,-3161.83,117.48,60135183.35,-3044.35,60132139.0
3651,54704054.24,3169.89,1825.26,5194010.32,146.43,-111.21,-1028.36,-11665.22,506.12,8608.71,-3317.88,118.54,59899516.18,-3199.34,59896316.84
3676,55040492.22,2834.76,1860.08,5226598.6,115.82,-116.2,-1031.08,-11661.19,525.89,8676.45,-3380.5,118.91,60268295.34,-3261.6,60265033.74
3701,55028669.56,3299.97,1825.76,5205806.47,148.24,-82.66,-1036.47,-11620.41,520.42,8614.17,-3424.75,119.21,60236145.05,-3305.54,60232839.51
3726,54694405.22,3260.71,1832.58,5168601.26,139.1,-106.56,-1057.19,-11768.66,510.22,8634.5,-3222.48,114.97,59864451.17,-3107.52,59861343.65
3751,54694530.39,2904.79,1833.86,5183554.83,101.38,-107.47,-1054.87,-11669.14,513.75,8666.33,-3316.8,114.63,59879273.87,-3202.16,59876071.71
3776,54812826.2,2787.35,1835.4,5177779.3,147.95,-106.9,-1022.44,-11755.43,524.36,8694.78,-3315.01,117.53,59991710.56,-3197.48,59988513.08
3801,55005637.85,2770.04,1843.52,5204911.78,142.14,-101.55,-1011.22,-11757.0,514.74,8680.62,-3314.38,118.02,60211630.93,-3196.36,60208434.57
3826,54755607.46,2783.19,1836.05,5233162.49,148.76,-79.86,-1013.13,-11744.16,501.07,8625.26,-3309.95,118.2,59989827.13,-3191.74,59986635.39
3851,54993598.87,2915.77,1805.09,5205587.76,101.99,-120.13,-990.05,-11670.38,508.5,8581.73,-3329.18,118.57,60200319.14,-3210.62,60197108.53
3876,54956029.72,2619.86,1835.02,5194710.56,101.88,-111.57,-1017.1,-11654.16,503.64,8612.04,-3342.72,117.59,60151629.9,-3225.13,60148404.77
3901,54670734.43,2745.65,1829.15,5172313.05,114.35,-105.83,-1012.81,-11658.27,505.38,8645.63,-3403.88,115.07,59844110.73,-3288.81,59840821.93
3926,54711663.62,2797.4,1846.01,5167452.73,109.7,-103.6,-1045.59,-11646.15,515.47,8669.43,-3410.24,113.82,59880259.01,-3296.42,59876962.59
3951,54810711.55,2948.34,1871.17,5168752.07,139.76,-96.47,-1043.78,-11569.91,515.84,8673.28,-3454.3,117.52,59980901.85,-3336.78,59977565.07
3976,54713932.87,2922.13,1843.4,5172227.82,144.53,-101.4,-1039.49,-11713.16,502.24,8649.74,-3322.82,115.49,59887368.68,-3207.33,59884161.36
4001,54861578.56,2820.39,1813.7,5181696.51,135.21,-113.5,-1039.88,-11652.89,510.37,8630.59,-3339.03,116.34,60044379.08,-3222.69,60041156.39
4026,54901663.95,2929.18,1817.24,5205110.28,118.9,-133.79,-1034.43,-11652.86,516.39,8601.7,-3355.84,114.98,60107936.56,-3240.86,60104695.7
4051,54716431.86,2882.09,1819.48,5192790.18,112.37,-120.07,-1053.8,-11661.19,517.76,8609.32,-3314.51,115.78,59910328.01,-3198.73,59907129.28
4076,54668039.34,2930.07,1812.11,5163913.25,133.95,-109.09,-1046.92,-11777.82,509.43,8642.32,-3244.05,113.33,59833046.63,-3130.72,59829915.9
