GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
3426,0.0,-0.0,-0.0,0.0,0.0,0.0,-41.9,-35.87,-0.0,-0.0,60.48,-3.65,0.0,-77.78,56.83,-20.95
3451,0.0,-0.0,0.0,0.0,0.0,0.0,-45.0,-31.64,-0.0,0.0,59.82,-3.78,0.0,-76.63,56.04,-20.59
3476,0.0,-0.0,-0.0,0.0,0.0,0.0,-44.15,-27.44,0.0,0.0,57.1,-3.89,0.0,-71.58,53.2,-18.38
3501,-0.0,-0.0,0.0,0.0,0.0,0.0,-40.33,-28.68,-0.0,-0.0,48.6,-3.76,0.0,-69.01,44.84,-24.17
3526,-0.0,0.0,-0.0,0.0,0.0,0.0,-41.18,-25.99,0.0,0.0,50.17,-3.85,0.0,-67.17,46.32,-20.84
3551,-0.0,-0.0,0.0,0.0,0.0,0.0,-40.3,-35.68,0.0,0.0,57.96,-3.6,0.0,-75.98,54.36,-21.62
3576,-0.0,0.0,-0.0,0.0,0.0,0.0,-42.36,-28.39,-0.0,0.0,53.46,-3.79,0.0,-70.75,49.67,-21.08
3601,-0.0,0.0,0.0,0.0,0.0,0.0,-37.35,-32.38,0.0,0.0,48.98,-3.83,0.0,-69.72,45.15,-24.57
3626,-0.0,0.0,-0.0,0.0,0.0,0.0,-41.51,-33.52,-0.0,0.0,55.14,-3.72,0.0,-75.03,51.43,-23.61
3651,0.0,-0.0,-0.0,0.0,0.0,0.0,-42.83,-26.7,0.0,0.0,54.49,-3.89,0.0,-69.53,50.6,-18.93
3676,-0.0,-0.0,-0.0,0.0,0.0,0.0,-39.31,-40.6,0.0,0.0,60.42,-3.6,0.0,-79.91,56.82,-23.09
3701,-0.0,-0.0,0.0,0.0,0.0,0.0,-32.1,-48.3,0.0,-0.0,65.09,-3.92,0.0,-80.4,61.17,-19.23
3726,-0.0,-0.0,-0.0,0.0,0.0,0.0,-41.12,-36.56,0.0,-0.0,62.29,-3.83,0.0,-77.68,58.47,-19.21
3751,-0.0,-0.0,0.0,0.0,0.0,0.0,-38.7,-32.27,-0.0,-0.0,58.24,-3.75,0.0,-70.96,54.5,-16.46
3776,0.0,0.0,0.0,0.0,0.0,0.0,-40.41,-33.69,0.0,0.0,55.97,-3.68,0.0,-74.1,52.29,-21.81
3801,0.0,0.0,-0.0,0.0,0.0,0.0,-41.18,-26.28,-0.0,-0.0,52.43,-3.61,0.0,-67.46,48.81,-18.64
3826,0.0,-0.0,0.0,0.0,0.0,0.0,-38.45,-23.2,0.0,0.0,51.36,-4.0,0.0,-61.65,47.36,-14.29
3851,0.0,0.0,0.0,0.0,0.0,0.0,-36.12,-27.31,-0.0,0.0,49.26,-4.04,0.0,-63.44,45.22,-18.21
