SMILES,bridge,aff_site,aff_p0,d_key,d_p0,composite,QED,MW,logP,HA,TPSA,LE
Cc1ccc(NC(=O)C2CCCN2Cc2cc(=O)oc3ccc(C)cc23)cc1,0.6930195988257318,-6.731,-8.343,4.348584137394607,2.923076632591078,0.8246651948777077,0.6989887782731086,376.4560000000001,4.012940000000003,28,62.550000000000004,0.24039285714285713
CC1(C)CC(N2Cc3ccc(CN)cc3C2)CC(C)(C)C1,0.6993970792465026,-5.839,-7.443,4.276297931622632,3.054456580146458,0.8246108310778449,0.8878533139796365,286.463,4.065800000000003,21,29.259999999999998,0.27804761904761904
CC1CC(C)CC(NCc2cccc(C(=O)O)n2)C1,0.699385817913272,-5.71,-6.919,4.344310762364957,2.8127683871943665,0.8240473582945064,0.8754350006598344,262.35300000000007,2.6941000000000006,19,62.22,0.3005263157894737
CC(C)COCCOCC(C)OCCCCCC(=O)O,0.7107100045035215,-4.188,-5.308,4.28333806744226,2.824301860637421,0.8240402782875703,0.49828988984638356,290.4,2.7257000000000007,20,64.99000000000001,0.20939999999999998
CCC(CC)c1nnc(NCCCC(NC(=O)c2ccco2)C(=O)O)o1,0.702017140735489,-5.261,-7.271,4.297529639222979,2.9399051005091983,0.8236513568038006,0.5187045660341449,364.4020000000001,2.6415000000000006,26,130.49,0.20234615384615384
Cc1ccc(CN(C)C(=O)c2nnn(Cc3ccco3)c2C)o1,0.7017553137347662,-5.289,-6.836,4.2385499879086,3.127079308236363,0.8236191320715034,0.7224379089525501,314.3450000000001,2.401440000000001,23,77.3,0.22995652173913042
CCCCCc1nnc(NC(=O)c2ccc(COc3ccc(CC)cc3)o2)s1,0.6955374536006378,-6.121,-7.34,4.209918526527562,3.2846878086052564,0.8235449817378525,0.47074056631123307,399.51600000000013,5.257500000000005,28,77.25,0.21860714285714286
NCCCCc1nc(CCOCC2CC2)cs1,0.7076289615442446,-4.459,-5.536,4.201509014627958,3.139962260919707,0.8234378646043485,0.6883671484577748,254.39899999999997,2.3936,17,48.14,0.2622941176470588
CCn1nc(C(F)(F)F)c2cc(C(=O)N3CCN(Cc4ccco4)CC3)ccc21,0.7002408201799736,-5.402,-9.025,4.199487944976148,3.247689948255528,0.8232190725506119,0.6641662152685677,406.4080000000002,3.626000000000003,29,54.510000000000005,0.18627586206896551
O=C(OCC1CCN(C(=O)OC2CCCC2)C1)c1cccc(F)c1,0.7004696867408765,-5.355,-7.164,4.170761800918388,3.3095922709602754,0.8231501349528705,0.7916584836744148,335.37499999999994,3.383600000000002,24,55.84,0.22312500000000002
Cc1cccnc1C(c1ccco1)N1CCN(C(=O)CCN2CC(=O)NC2=O)CC1,0.6957234533341977,-5.879,-7.553,4.283387094344849,3.091757752476736,0.8226144532583856,0.7164859938740159,411.46200000000033,1.1585199999999998,30,98.99000000000001,0.19596666666666665
CCN(CC)S(=O)(=O)c1ccc2c(C(=O)Nc3cc(C)ccc3C)cccc2c1,0.6938438348302152,-6.121,-7.078,4.278429735311777,3.1348424202820784,0.8225417134544998,0.6382501974962943,410.53900000000016,4.7394400000000045,29,66.48,0.21106896551724139
CCNC(=O)c1cccc(NC(=O)CNC(c2ccccc2)C(F)(F)F)c1,0.6991018690534131,-5.386,-7.543,3.979493686387755,3.647649380080274,0.8224801229866872,0.6916087628785477,379.382,3.2680000000000016,27,70.23,0.19948148148148148
CCc1nnc(NC(=O)C(C)N2CCN(Cc3cc(C)on3)CC2)s1,0.6969904291590103,-5.66,-6.685,4.307518427122512,2.9953383782137206,0.822419413064048,0.831719151218294,364.47500000000014,1.5417199999999995,25,87.39,0.22640000000000002
Cc1cc(C2CCN(C(=O)c3cc4n(n3)CCC4)C2)n[nH]1,0.6997102917413389,-5.279,-7.836,4.025662057351561,3.576987279820827,0.8223748938606169,0.9087699352602382,285.35099999999994,1.4905199999999998,21,66.81,0.25138095238095237
CSc1ccccc1C(=O)Nc1ccc(Cn2cccnc2=O)cc1,0.698440534941861,-5.449,-7.139,4.302299966297096,2.987498786610633,0.8223632752113751,0.7167655638734259,351.43100000000004,3.2658000000000014,25,63.99,0.21796
O=C(Nc1ccc2c(c1)OCCCO2)c1ccc(COc2ccc(Cl)cc2)o1,0.7009940584851151,-5.055,-6.68,4.238019466684881,3.1398487224705613,0.8221578476696257,0.6586016754718754,399.83000000000004,4.925600000000004,28,69.93,0.18053571428571427
O=C(NCc1ccc(-c2cn3ccccc3n2)o1)c1ccccc1-n1cnnn1,0.6890916352533083,-6.69,-7.116,4.370350214799725,2.9162199848433925,0.8221499990778685,0.49857546838692207,385.38700000000006,2.5,29,103.14,0.2306896551724138
O=C(COC(=O)CNC(=O)c1cccnc1)NC1CCCC1,0.6984533831758982,-5.394,-6.171,4.210231347562743,3.245938385120703,0.8221331478062438,0.7420887592430541,305.3340000000002,0.4133999999999991,22,97.39,0.2451818181818182
Cc1ccoc1C(=O)N1CCC2(CCN(Cc3ccccc3)C2=O)C1,0.6943487971653666,-5.953,-7.493,4.295735909014892,3.0766281868305114,0.8221193998021608,0.864628373006236,338.40700000000004,2.8528200000000012,25,53.760000000000005,0.23812
COP(=O)(OC)N1CC2(CCC(C(O)C(N)=O)C2)C1,0.705123516376604,-4.484,-5.632,4.175086825444472,3.240304306697135,0.8220879340431075,0.708210292734813,292.27200000000005,0.3356,19,102.09,0.236
CC(c1nc2ccccc2s1)S(=O)(=O)N(C)CCN1CCN(C)CC1,0.6986529062006689,-5.355,-6.067,4.2664580157315495,3.095557138868544,0.8220819558948538,0.7633556765403976,382.55500000000023,1.8663,25,56.75000000000001,0.21420000000000003
CCOc1ccc2c(c1)CC(C)N2C(=O)NCc1nc(C)no1,0.7000133459449545,-5.161,-6.716,4.283735869541912,3.02110112376266,0.8220418989419845,0.9367636388555676,316.36100000000005,2.43752,23,80.49,0.22439130434782606
CCN(c1ccccc1)c1nccc(C(=O)Nc2ccc(OC)c(OC)c2)n1,0.6950815674093029,-5.817,-7.155,4.30705572288077,3.029409678468729,0.8219681886449501,0.6718255702174054,378.43200000000013,3.9041000000000015,28,76.58000000000001,0.20775000000000002
CN(CCCCN1CC(O)CC1c1cccc(F)c1)C1CC1,0.7018113222293982,-4.898,-6.454,4.267531136383189,3.0419569359213483,0.8219552441153614,0.7848259662219698,306.42500000000007,2.807800000000001,22,26.71,0.22263636363636363
Cc1nn2c(C(C)C)ccnc2c1C(=O)Nc1nc2c([nH]1)CCCC2,0.691615473146274,-6.281,-7.089,4.208691720713219,3.3364749362163657,0.8219050769408377,0.7682073771224963,338.41500000000013,3.0153200000000018,25,87.97,0.25123999999999996
Cc1ccc(C)c(Cc2cnc(C3CCCN3C(=O)C3CCOC3=O)o2)c1,0.6922674881033596,-6.122,-7.412,4.32088185443666,3.032159131707965,0.8216111009002698,0.6124097017766759,368.43300000000016,3.1088400000000016,27,72.64000000000001,0.22674074074074074
CC1CCc2c(sc(NC(=O)CSc3nnc(Cc4ccc(Cl)cc4)n3C)c2C(N)=O)C1,0.6868422050811472,-6.875,-7.939,4.120939334666309,3.553663461837657,0.821594235743801,0.48666448296553627,490.0540000000003,4.075300000000003,32,102.9,0.21484375
CCOC(=O)c1ccccc1NC(=O)C(=O)Nc1ccc(Oc2ccccc2)cc1,0.6925859134035858,-6.073,-7.334,4.316440199979608,3.0410827019336386,0.8215899144465759,0.4736077592176367,404.4220000000001,4.232800000000003,30,93.73,0.20243333333333335
CCc1onc(C)c1C(=O)NCc1nc(-c2ccccc2OC)no1,0.6954245574071855,-5.629,-7.691,4.071118887971707,3.5488894037430923,0.8213615379213419,0.733848329475779,342.3550000000001,2.534020000000001,25,103.28000000000002,0.22515999999999997
Cc1[nH]cnc1CNC(=O)c1ccc(NC(=O)C(C)(C)C)cc1,0.699701606712976,-5.027,-7.184,4.050899406304727,3.538528931632466,0.8212782172585875,0.8104906807315779,314.38900000000007,2.632720000000001,23,86.88,0.21856521739130436
