SMILES,aff,d_asp,d_arg,d_p0
Cc1ccnc(NS(=O)(=O)c2ccoc2C(=O)O)c1,-5.541,12.766559207554714,12.933819002908614,2.981031029694256
CCC=CCC=CCC=CCC=CCC=CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCC=CCC=CCC=CCC,,,,
CCCCOC(=O)CC1(CC)CCCCOC1=O,-3.007,8.179027020373512,8.229154877628686,2.95471842990157
CN(C)c1ncccc1C(=O)NCCC1CC=CCC1,-4.559,4.004076547719835,8.284609405397457,7.992305862515523
CC(CO)CNc1ccc(N(C)C)c([N+](=O)[O-])c1,-4.232,6.462249298812293,7.207887415879912,2.9944645598169966
CNC(=O)NCCC(=O)Nc1ccc(OC)nc1C,-5.486,12.609431152910902,12.344934750738863,2.920474105346597
CC(C)(C)C(=O)c1ccc(NC=CC(=O)c2ccccc2F)cc1,-5.794,3.4414598646504646,7.499893199239572,3.4735012595362624
CCCCCCC=CCCCCCC(O)CC(=O)NC(COC1OC(CO)C(O)C(O)C1OC(=O)CCCCCCCC=CCCCCCCCCC)C(O)CCCCCCCCCCCC,,,,
CCNC(=O)N1CCc2c(nc(C3CCCO3)n2C)C1,-4.386,6.168718748654374,8.407468227712787,3.0417608387248327
CCOC(=O)Cc1nc(SCCCN2CCC(c3ncccn3)CC2)n[nH]1,-5.272,5.034208676644225,8.385264992831175,2.995799392482749
CCC(N)c1ccc(N2CCCCCC2)cn1,-2.89,5.7519000339018405,8.740113672029672,3.717524041616946
CCC(CC)CN(C(NC(C)=O)c1coc2ccccc12)S(=O)(=O)c1ccc2c(c1)c1ccccc1n2CC,-5.079,5.481180985882513,7.100263164136945,5.371593525202741
C[N+]1(C)C(=O)CC(C(=O)O)C1(C1CCC1)C1CC1,-4.698,12.551979525158572,11.411949745770878,8.945482323497153
CCOCC(C)(N)C(=O)Cc1cc(C)nn1CC,-4.55,6.574762048926179,8.24935591425173,2.8814041715802388
Cc1cccc(C)c1Oc1cccc2c1NCC2=NCCNc1ccccc1,-5.948,4.430657964681995,8.35278935446118,3.090322151491653
Cc1ccccc1COc1ccc(OC(F)F)cc1,-5.195,12.49585155161504,8.473662962379375,8.559429069745248
COC(=O)c1c(C)n(-c2ccc(C)cc2)c2ccc(-c3cc(Cl)ccn3)cc12,-5.929,4.379914839354757,8.005771230805935,5.119652917923245
CCCCCCCOc1ccc(C=c2sc3n2C(c2ccc4ccccc4c2)C(C(=O)OC)=C(C)N=3)cc1OCC,-4.918,5.032174579642484,7.0291534340914765,8.057913936001054
Cc1cc(Br)cc(Br)c1NCC1CCC(C)(C)C1,-5.122,12.736858717910001,12.890606735138576,3.2644322630436062
CCC1CCC2(CC2C(=O)OC(F)(F)C(F)F)O1,-4.61,3.4673302409779194,7.517018358365236,10.00635123309191
CC(=O)CN1CCC(Oc2ccc(Nc3cccc(C)c3COc3cc4oc(C)cc4cn3)c(C)c2C)CC1,-6.688,4.5314091627219,8.805454105269074,3.065743139925457
CCNC(Cc1c(Br)cccc1OC)C1=CCCO1,-4.485,4.363270676911988,7.4786851117024575,6.593327308726603
O=C(COC1(CCN2CCN(c3ccc4c(c3)OCCO4)CCO2)CCCC1)OCc1ccccc1,,,,
CNc1ccccc1-c1[nH]nnc1N,-5.033,14.939531016735431,12.12918834877256,2.9520353995167468
COc1ccc(CNC(=O)C(=O)NCC(=O)N2CCN(CCN)CC2)cc1,-5.56,4.574020222954856,7.732353522699282,3.126727682418154
Cc1cc(C)cc(N2C(=O)C(=Cc3ccc(OCc4ccc(F)cc4)c([N+](=O)[O-])c3)SC2=S)c1,-6.002,11.765107139333667,7.163783637157114,8.65831346163905
CCC(NC(=O)CN(c1ccc(C(C)=O)cc1)S(=O)(=O)c1ccc(F)cc1)c1cc(C)c(C)cc1C,-5.904,3.5753183075077377,7.726025174693646,3.1823661008752593
CC(C)C(C)NC(=O)Nc1ccccc1C(=O)O,-5.973,12.983953404106163,12.776049193706166,3.089861647388116
