SMILES,aff_p0,aff_site,d_key,d_p0,bridge
CC(=O)CN1CCC(Oc2ccc(Nc3cccc(C)c3COc3cc4oc(C)cc4cn3)c(C)c2C)CC1,-8.532,-6.688,4.5314091627219,3.065743139925457,0.6482461237018369
CCNC(Cc1c(Br)cccc1OC)C1=CCCO1,-5.887,-4.485,4.363270676911988,6.593327308726603,0.19219407726198376
O=C(COC1(CCN2CCN(c3ccc4c(c3)OCCO4)CCO2)CCCC1)OCc1ccccc1,-5.624,-4.476,4.849387074672427,6.776859892310008,0.14677623499211126
CNc1ccccc1-c1[nH]nnc1N,-5.494,-5.033,12.12918834877256,2.9520353995167468,0.007940869998419704
COc1ccc(CNC(=O)C(=O)NCC(=O)N2CCN(CCN)CC2)cc1,-6.997,-5.56,4.574020222954856,3.126727682418154,0.6358068704726155
Cc1cc(C)cc(N2C(=O)C(=Cc3ccc(OCc4ccc(F)cc4)c([N+](=O)[O-])c3)SC2=S)c1,-8.264,-6.002,7.163783637157114,8.65831346163905,0.013785257423299979
CCC(NC(=O)CN(c1ccc(C(C)=O)cc1)S(=O)(=O)c1ccc(F)cc1)c1cc(C)c(C)cc1C,-8.483,-5.904,3.5753183075077377,3.1823661008752593,0.7985849473037525
CC(C)C(C)NC(=O)Nc1ccccc1C(=O)O,-6.501,-5.973,12.776049193706166,3.089861647388116,0.00523846978487314
CCOCCN1CCc2cc3c(=O)n(Cc4ccc(OC)cc4)cnc3nc21,-6.94,-5.13,4.646738856445453,3.5829958135616047,0.5871232443972291
CNC(=O)c1ccc2c(c1)C(=O)C(C(C)C)=C(CCCC(=O)N1CCN(CCCN3C(=O)c4ccccc4C3=O)CC1)C2=O,-8.031,-5.28,4.570923429680265,9.858085463212419,0.02426674971797307
C=CSSC(C)=O,-3.291,-2.837,11.663715574378518,8.983904051135008,0.0006880401366040798
NC(Nc1ncccn1)c1cccc(Oc2ncc(C(F)(F)F)cc2Cl)c1,-7.742,-6.162,3.3697956911361846,3.1161575698285864,0.8264849401397186
CCCCOC(=O)C1=C(C)N=C2C(C(=O)OC)C1C=CC=CN2CCCC,-4.927,-3.279,6.040126571521494,3.0892932848792465,0.3296312562821139
O=C(NC1C=Cc2ncccc2C1)c1ccc2ocnc2c1,-7.876,-5.28,7.279318443370919,8.19588896947732,0.01712584611319113
CN(C(=O)OCc1ccccc1)c1ccc(CC(C(=O)O)N(C)C2CCCN(C(=O)OC(C)(C)C)C2)cc1,-6.28,-5.108,3.299270980080297,4.867355853027391,0.5626708809277458
Cc1cn2cc(NC(=O)NS(=O)(=O)c3c(Cl)cccc3Cl)ccc2n1,-7.503,-6.135,3.54097980790628,9.653452750182185,0.03496222307684471
O=C(O)C1CCCN(C(=O)NCc2ccc(Br)s2)C1,-7.078,-5.443,4.645724378393536,2.9531918325770854,0.6301935426352963
CC1CN(Cc2ccccc2CN=C(N)NC(C)(C)C)CCO1,-6.605,-4.613,8.1636030035763,3.224546789860555,0.09187883383459586
CCCCCCCCCCCCC(CC(CCCCCCCCCC)C(NC)C(O)CS)C(C)C,-4.326,,,,0.0
CC1NCCC1Nc1ncc(-c2cccnc2)cn1,-6.499,-5.117,12.668901254647144,3.060811820416276,0.005615961467759223
